Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
MON,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.11667249516650549,-0.5833108113708065,0.45780079308748656,0.5053962155964302,0.5999686526534279,0.1,0.10625,0.2125,0.5375
WIT,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1835527153909913,-1.6112998437796773,-0.19748362354265112,3.0889963689817246,-0.3865680081521289,0.10674136599999999,0.09971912,0.23314633199999998,0.255617721
RIGL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.4446782210380642,-0.2855639633697964,-1.0655486859007084,-0.3177398690261598,-0.034482759,0.077586207,0.24568275899999997,-0.362068966
GRMN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.4828012147285683,-0.16036568859804348,-0.21965527740224913,-0.14949330671823538,0.434782609,0.280632411,0.132407905,0.31225296399999997
RECN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.31617959198695533,-0.23749676859135554,-0.4613391084018089,-0.2718544429421804,0.174311927,0.220183486,0.651376147,0.385321101
PEET,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0170879452824657,0.05918233388473768,-0.29517740232548456,-0.9447067704009284,-0.36974335192133645,0.2300123,0.414514145,0.061500615,0.136531365
OIS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,0.9586727372424996,-0.22408266772295346,-0.8238648549011486,-0.1647884487462285,0.013888973,0.010411139,0.371522288,0.216666728
ACN,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1835527153909913,-1.0973053275752418,1.5393126756024058,-0.1592343196523592,3.0471913771323287,-0.003311258,-0.009933775,-0.021192053,0.12450331099999999
MDTH,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.2258039566263508,-0.15701216338094295,1.1096057930953296,-0.2871495849701735,0.025589763999999997,0.02754894,-0.18632547,-0.240303878
PFG,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,0.9586727372424996,1.7433187929760212,0.32413334234676033,2.588337116292535,0.029268292999999997,0.043902439,0.085365854,0.185365805
WTW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,1.472667253446935,0.14212228598442384,0.9887638775955497,0.061579653268069814,-0.008075337,0.048115782,0.128869453,0.21130555899999998
PRU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.11667249516650549,0.31617959198695533,3.0567828363403935,1.4117105818447793,2.894239956852397,0.027491408999999998,0.0395189,0.056701031,0.052577285
SYNA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.0973053275752418,-0.26320712858912626,-0.5821810239015888,-0.3177398690261598,0.004576659,-0.001525629,-0.022120481,0.437833753
MANT,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.5731768500891731,-0.19591305589930905,0.022028553597310634,-0.25044124410299,0.076023392,0.143274795,0.102339181,0.256725146
GME,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.11667249516650549,0.05918233388473768,0.03861012977150359,0.2637123845968704,0.08163326693239188,0.057142857000000005,0.022337662,0.09194805199999999,0.194805195
JBLU,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,-0.19781492421747998,-0.14762228271248584,1.3512896240948893,-0.29122827931421036,0.2086887,0.184168407,0.305970107,0.18043710699999999
VRNT,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,-0.45481218231969767,-0.2442038190255566,0.022028553597310634,-0.3330350110541529,-0.10368519699999999,-0.315427858,-0.25983760100000003,-0.46283572799999995
CPSI,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0170879452824657,1.2156699953447172,-0.26935525815381056,0.08244951134720058,-0.3789204371381323,0.042285714,0.085714286,0.14800000000000002,0.183999943
LQMT,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.8301741081913907,-0.24085029380845607,-0.09881336190246925,-0.3177398690261598,0.005996003000000001,0.015323118,0.062624917,-0.558960693
NFLX,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.3543025856774595,-0.23246648076570475,-0.09881336190246925,-0.30244472699816666,0.050030741,-0.067326226,-0.150710506,-0.20012382899999998
OSTK,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-0.45481218231969767,-0.28109259641366235,-0.340497192902029,-0.3789204371381323,-0.03871439,-0.104455807,-0.006574142,-0.485025566
PACR,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,0.18768096293584652,-0.08994165903893246,-0.09881336190246925,-0.04242731252228346,0.016666667,0.1,0.094666667,-0.152
BGFV,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0170879452824657,0.4446782210380642,-0.20770628624611256,-0.340497192902029,-0.2244395026554017,0.006917756,0.029976941,-0.196003075,-0.300538048
DKS,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,0.31617959198695533,-0.22690881756441275,-0.4613391084018089,-0.2477090728825296,0.18300653600000003,0.176470588,0.352124183,0.7728758170000001
NGS,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0170879452824657,1.0871713662936084,-0.3163046111932179,-1.307232516900268,-0.4248058632221117,-0.076923077,-0.12087912099999999,-0.17582417600000003,-0.131868132
PRAA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,-1.0973053275752418,-0.2680138480669703,-0.340497192902029,-0.3513891814877447,0.037288065,0.15593205699999999,0.284745743,0.525423625
OTIV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9502077250579802,0.31617959198695533,-0.3192744964790073,-1.0752160391406906,-0.4492816389398512,0.04516129,-0.070967742,-0.4,-0.45161290299999995
CME,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.11667249516650549,-0.968806698524133,-0.13880537194852163,2.3180249480931288,-0.32535470843621644,0.094871795,0.125897436,0.23076923100000002,0.07974359
PFS,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,1.344168624395826,0.3417498172662448,-0.7030229394013687,1.3530494426289144,0.006557377,0.029508197000000003,-0.012459016000000002,0.055737705
IPCC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0170879452824657,1.472667253446935,-0.10330210350386096,0.022028553597310634,-0.09204475326109318,-0.011875,-0.001875,0.022500062999999997,0.3175
FORM,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-0.968806698524133,-0.23078971815715452,-0.21965527740224913,-0.2871495849701735,-0.074210526,-0.052631579000000005,0.023684262999999997,0.035263157999999996
MOH,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.11667249516650549,-0.06931629516637115,-0.195577703377599,0.20329142684698046,-0.2687954145365818,-0.030952357000000003,0.071428571,0.202381,0.19761900000000002
CHT,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,0.18768096293584652,1.2114049798743165,-0.19065321768230195,2.4812711220965826,0.010067108,-0.023489847,-0.07181205,0.016778585
NTGR,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.2258039566263508,-0.21513993381068539,-0.21965527740224913,-0.25655930091418727,-0.060052219000000004,-0.115926893,-0.072584856,-0.079895509
CSE,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1835527153909913,-0.5833108113708065,0.020556996864529824,-0.1592343196523592,0.18088176108641624,0.09004745800000001,0.06931280000000001,0.030805747999999997,0.30213277899999996
NFP,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,1.344168624395826,-0.0915731557641023,0.8679219620957699,-0.1933298567567129,0.0038095240000000003,0.021714286,0.017904724,-0.047619048
ACUS,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.0973053275752418,-0.26600173293671003,-0.21965527740224913,-0.3559777240961426,-0.11672907199999999,-0.22284642699999999,-0.43383271700000003,-0.44506864100000004
