Symbol,Neg Sent Signal compound,Neg Sent Signal neg,Neg Sent Signal neu,Neg Sent Signal pos,Pos Sent Signal compound,Pos Sent Signal neg,Pos Sent Signal neu,Pos Sent Signal pos,Mean Sent Len,Sent Count,Pos Mean Sent Len,Pos Sent Count,Neg Mean Sent Len,Neg Sent Count,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,MKT13,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
ACLZ,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,12619889.0,0.75,16826519,0.4,0.38,0.4,0.44
ACM,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,703000000.0,20.0,35150000,0.001421754,0.106161137,0.061611374,0.298578199
ACMR,-0.43923265306122417,0.3428367346938776,0.6319081632653063,0.02526530612244898,0.751443157894737,0.020631578947368424,0.6685999999999999,0.3107263157894737,354.48590466427476,1951.0,193.77894736842106,95.0,102.12244897959184,98.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,18,11200000.0,5.6,2000000,-0.264381885,-0.308445532,-0.168910649,-0.35128519
ACN,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,1667500000.0,14.5,115000000,-0.003311258,-0.009933775,-0.021192053,0.124503311
ACOR,-0.46942916666666673,0.21470833333333328,0.7194166666666667,0.06579166666666668,0.7511583333333333,0.026166666666666668,0.6854166666666665,0.2884166666666667,290.5,480.0,182.25,24.0,214.91666666666666,24.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,23,33000000.0,6.0,5500000,0.095623987,0.051863857,0.009724473,-0.181523501
ACRX,-0.5760176470588234,0.29364705882352926,0.624970588235294,0.08141176470588235,0.708765217391304,0.02134782608695652,0.6157536231884059,0.3628695652173911,294.47772096420744,1369.0,151.42028985507247,69.0,142.01470588235293,68.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,26,40000000.0,5.0,8000000,-0.094,-0.238,-0.362,-0.342
ACUS,-0.4527537313432836,0.24150746268656723,0.702597014925373,0.055925373134328354,0.7400575757575756,0.023727272727272725,0.6501363636363637,0.3260757575757576,295.88872292755786,1339.0,152.77272727272728,66.0,148.8955223880597,67.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,52500000.0,14.0,3750000,-0.116729072,-0.222846427,-0.433832717,-0.445068641
ADAP,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,28,191250000.0,17.0,11250000,-0.181818182,-0.124675325,-0.22077922100000005,-0.21558441600000008
ADMS,-0.5771586956521736,0.22357608695652176,0.7325434782608696,0.04384782608695653,0.8174268817204304,0.013107526881720436,0.6730107526881721,0.31387096774193535,332.61041779707,1843.0,236.09677419354838,93.0,206.72826086956522,92.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,26,48000000.0,16.0,3000000,-0.184569733,-0.220178042,0.142433234,0.070623205
ADOM,-0.4559299999999998,0.20507499999999998,0.7294250000000001,0.0654625,0.787655421686747,0.015397590361445786,0.6466506024096385,0.33797590361445784,337.1044685990338,1656.0,162.96385542168676,83.0,198.2375,80.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,14261375.0,5.0,2852275,-0.037037037,0.314814815,0.975308642,0.643209877
ADRO,-0.6334252173913043,0.24092173913043477,0.7042956521739128,0.05480000000000002,0.7952991452991455,0.01822222222222222,0.6590341880341882,0.3227435897435895,334.2631578947368,2337.0,210.76923076923077,117.0,203.2173913043478,115.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,19,119000000.0,17.0,7000000,0.328125,0.209687469,0.010937437,-0.048437469
