Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
MANT,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,26,115200000,16.0,7200000,0.076023392,0.143274795,0.102339181,0.256725146
GME,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,22,324999990,18.0,18055555,0.057142857000000005,0.022337662,0.09194805199999999,0.194805195
JBLU,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,20,158400009,27.0,5866667,0.2086887,0.184168407,0.305970107,0.18043710699999999
VRNT,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,18,72000000,16.0,4500000,-0.10368519699999999,-0.315427858,-0.25983760100000003,-0.46283572799999995
CPSI,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,31,49500000,16.5,3000000,0.042285714,0.085714286,0.14800000000000002,0.183999943
LQMT,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,28,75000000,15.0,5000000,0.005996003000000001,0.015323118,0.062624917,-0.558960693
NFLX,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,82500000,15.0,5500000,0.050030741,-0.067326226,-0.150710506,-0.20012382899999998
OSTK,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,18,39000000,13.0,3000000,-0.03871439,-0.104455807,-0.006574142,-0.485025566
PACR,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,210000000,15.0,14000000,0.016666667,0.1,0.094666667,-0.152
BGFV,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,25,104650000,13.0,8050000,0.006917756,0.029976941,-0.196003075,-0.300538048
DKS,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,24,87471780,12.0,7289315,0.18300653600000003,0.176470588,0.352124183,0.7728758170000001
NGS,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,30,7500000,5.0,1500000,-0.076923077,-0.12087912099999999,-0.17582417600000003,-0.131868132
PRAA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,50700000,13.0,3900000,0.037288065,0.15593205699999999,0.284745743,0.525423625
OTIV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,24,4843197,6.92,699884,0.04516129,-0.070967742,-0.4,-0.45161290299999995
CME,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,166287450,35.0,4751070,0.094871795,0.125897436,0.23076923100000002,0.07974359
PFS,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,32,596183000,10.0,59618300,0.006557377,0.029508197000000003,-0.012459016000000002,0.055737705
